Fold,Accuracy,Reduction_time,Prediction_time,Storage,Distributions
0,0.5202702702702703,9.75043249130249,0.2511298656463623,64.0,[0.47051887 0.21108491 0.31839623]
1,0.4897959183673469,9.55057692527771,0.31104302406311035,62.44343891402715,[0.4673913  0.22705314 0.30555556]
2,0.5202702702702703,9.613737106323242,0.2509918212890625,66.0377358490566,[0.46057143 0.21371429 0.32571429]
3,0.5310344827586206,9.73635721206665,0.22195816040039062,61.8222891566265,[0.47990256 0.21680877 0.30328867]
4,0.5170068027210885,9.499574184417725,0.25000596046447754,63.34841628959276,[0.46309524 0.21071429 0.32619048]
5,0.5374149659863946,9.401652097702026,0.26101183891296387,62.971342383107086,[0.47065868 0.21437126 0.31497006]
6,0.5100671140939598,9.288439512252808,0.22191476821899414,62.31117824773414,[0.45818182 0.21575758 0.32606061]
7,0.47619047619047616,9.643210649490356,0.21798157691955566,61.990950226244344,[0.47688564 0.22019465 0.30291971]
8,0.5170068027210885,9.296599626541138,0.21902060508728027,60.78431372549019,[0.46526055 0.21836228 0.31637717]
9,0.527027027027027,9.572642803192139,0.2850008010864258,62.56603773584906,[0.46200241 0.2159228  0.32207479]
Folds Average,0.5146084130406542,9.535322260856628,0.2490058422088623,62.82757025277277,[]
