Fold,Accuracy,Reduction_time,Prediction_time,Storage,Distributions
0,0.5472972972972973,33.278886795043945,0.1650373935699463,79.09433962264151,[0.38645038 0.26240458 0.35114504]
1,0.43537414965986393,33.59592866897583,0.16403698921203613,79.71342383107088,[0.39167455 0.25733207 0.35099338]
2,0.5540540540540541,32.15696883201599,0.18804192543029785,78.11320754716981,[0.38357488 0.26280193 0.35362319]
3,0.45517241379310347,32.91848397254944,0.16203641891479492,78.68975903614458,[0.38373206 0.25837321 0.35789474]
4,0.47619047619047616,32.740394115448,0.16303706169128418,78.35595776772247,[0.38498556 0.25890279 0.35611165]
5,0.5238095238095238,32.41038680076599,0.16303682327270508,78.43137254901961,[0.38173077 0.26057692 0.35769231]
6,0.5100671140939598,32.60522723197937,0.19504594802856445,79.45619335347432,[0.38022814 0.26140684 0.35836502]
7,0.43537414965986393,32.88135051727295,0.1670370101928711,79.18552036199095,[0.38380952 0.25904762 0.35714286]
8,0.5578231292517006,32.798470973968506,0.16503453254699707,79.18552036199095,[0.38095238 0.26190476 0.35714286]
9,0.46621621621621623,32.91499662399292,0.19104361534118652,78.71698113207547,[0.39022052 0.25982742 0.34995206]
Folds Average,0.496137852402606,32.830109453201295,0.17233877182006835,78.89422755633005,[]
