Fold,Accuracy,Reduction_time,Prediction_time,Storage,Distributions
0,0.581081081081081,0.0,0.2340531349182129,100.0,[0.42641509 0.22641509 0.34716981]
1,0.48299319727891155,0.0,0.20404601097106934,100.0,[0.42684766 0.2254902  0.34766214]
2,0.5405405405405406,0.0,0.20204567909240723,100.0,[0.42716981 0.22641509 0.34641509]
3,0.4896551724137931,0.0,0.20004534721374512,100.0,[0.42695783 0.22590361 0.34713855]
4,0.48299319727891155,0.0,0.22605133056640625,100.0,[0.42684766 0.22624434 0.34690799]
5,0.4965986394557823,0.0,0.20104575157165527,100.0,[0.42760181 0.2254902  0.34690799]
6,0.5570469798657718,0.0,0.20304608345031738,100.0,[0.42673716 0.2265861  0.34667674]
7,0.4897959183673469,0.0,0.22805166244506836,100.0,[0.42684766 0.2254902  0.34766214]
8,0.5374149659863946,0.0,0.19904732704162598,100.0,[0.42684766 0.22624434 0.34690799]
9,0.5067567567567568,0.0,0.20004534721374512,100.0,[0.42792453 0.22641509 0.34566038]
Folds Average,0.5164876449025291,0.0,0.2097477674484253,100.0,[]
