Fold,Accuracy,Reduction_time,Prediction_time,Storage,Distributions
0,0.581081081081081,0.0,0.20204567909240723,100.0,[0.42641509 0.22641509 0.34716981]
1,0.48299319727891155,0.0,0.20004534721374512,100.0,[0.42684766 0.2254902  0.34766214]
2,0.5405405405405406,0.0,0.2270514965057373,100.0,[0.42716981 0.22641509 0.34641509]
3,0.4896551724137931,0.0,0.198045015335083,100.0,[0.42695783 0.22590361 0.34713855]
4,0.48299319727891155,0.0,0.20204544067382812,100.0,[0.42684766 0.22624434 0.34690799]
5,0.4965986394557823,0.0,0.23005199432373047,100.0,[0.42760181 0.2254902  0.34690799]
6,0.5570469798657718,0.0,0.20304632186889648,100.0,[0.42673716 0.2265861  0.34667674]
7,0.4897959183673469,0.0,0.20204472541809082,100.0,[0.42684766 0.2254902  0.34766214]
8,0.5374149659863946,0.0,0.20404672622680664,100.0,[0.42684766 0.22624434 0.34690799]
9,0.5067567567567568,0.0,0.23005151748657227,100.0,[0.42792453 0.22641509 0.34566038]
Folds Average,0.5164876449025291,0.0,0.20984742641448975,100.0,[]
