Fold,Accuracy,Reduction_time,Prediction_time,Storage,Distributions
0,0.8771384136858476,146.14978528022766,0.8124704360961914,16.781767955801104,[0.09567901 0.04012346 0.25514403 0.22633745 0.12139918 0.26131687]
1,0.9066874027993779,147.37474155426025,0.8121843338012695,16.799033149171272,[0.08838643 0.04727646 0.26002055 0.24049332 0.12024666 0.24357657]
2,0.8883720930232558,151.01091170310974,0.845191240310669,16.94300518134715,[0.07543323 0.04689093 0.26809378 0.2324159  0.11722732 0.25993884]
3,0.8786936236391913,145.33912777900696,0.8165650367736816,16.816298342541437,[0.09445585 0.04414784 0.25462012 0.21560575 0.13141684 0.25975359]
4,0.9158878504672897,145.87892246246338,0.8133232593536377,16.882444329363025,[0.08588957 0.05316973 0.24642127 0.22801636 0.12781186 0.25869121]
5,0.8930232558139535,141.9304633140564,0.8321914672851562,16.511226252158895,[0.08682008 0.05125523 0.26150628 0.22280335 0.12552301 0.25209205]
6,0.8973561430793157,159.5233278274536,0.8321893215179443,17.679558011049725,[0.08691406 0.04492188 0.26367188 0.22265625 0.12109375 0.26074219]
7,0.8978328173374613,143.58153128623962,0.8061845302581787,16.496804283986872,[0.09005236 0.0460733  0.25026178 0.22827225 0.12356021 0.2617801 ]
8,0.880248833592535,145.38886833190918,0.8321878910064697,16.505524861878452,[0.07949791 0.05334728 0.25627615 0.22175732 0.12238494 0.2667364 ]
9,0.8987538940809969,143.0540156364441,0.8071858882904053,16.67529777317452,[0.09109731 0.04761905 0.25362319 0.22049689 0.12939959 0.25776398]
Folds Average,0.8933994327519225,146.9231695175171,0.8209673404693604,16.809096014047245,[]
