Fold,Accuracy,Reduction_time,Prediction_time,Storage,Distributions
0,0.9004665629860031,0.0,3.4731392860412598,100.0,[0.23825967 0.10928867 0.21098066 0.09720304 0.10997928 0.23428867]
1,0.9206842923794712,0.0,3.4667844772338867,100.0,[0.23825967 0.10894337 0.21115331 0.09720304 0.10997928 0.23446133]
2,0.9100775193798449,0.0,3.4672999382019043,100.0,[0.23816926 0.10932642 0.21122625 0.09723661 0.10967185 0.2343696 ]
3,0.9191290824261276,0.0,3.4397783279418945,100.0,[0.23808702 0.10928867 0.21098066 0.09737569 0.10980663 0.23446133]
4,0.9190031152647975,0.0,3.4437789916992188,100.0,[0.23804592 0.10926981 0.21111687 0.09735888 0.1099603  0.23424823]
5,0.8930232558139535,0.0,3.4627835750579834,100.0,[0.23834197 0.10932642 0.21070812 0.09740933 0.10984456 0.2343696 ]
6,0.926905132192846,0.0,3.469787120819092,100.0,[0.23825967 0.10928867 0.21080801 0.09737569 0.10980663 0.23446133]
7,0.9148606811145511,0.0,3.486872673034668,100.0,[0.23838314 0.10934531 0.21126274 0.09708067 0.10969079 0.23423735]
8,0.9035769828926905,0.0,3.429483413696289,100.0,[0.23825967 0.10928867 0.21098066 0.09720304 0.10997928 0.23428867]
9,0.9127725856697819,0.0,3.4597830772399902,100.0,[0.23821854 0.10909719 0.21111687 0.09735888 0.1099603  0.23424823]
Folds Average,0.9120499210120068,0.0,3.459949088096619,100.0,[]
