Fold,Accuracy,Reduction_time,Prediction_time,Storage,Distributions
0,0.9004665629860031,0.0,3.505793333053589,100.0,[0.23825967 0.10928867 0.21098066 0.09720304 0.10997928 0.23428867]
1,0.9206842923794712,0.0,3.474003791809082,100.0,[0.23825967 0.10894337 0.21115331 0.09720304 0.10997928 0.23446133]
2,0.9100775193798449,0.0,3.4787869453430176,100.0,[0.23816926 0.10932642 0.21122625 0.09723661 0.10967185 0.2343696 ]
3,0.9191290824261276,0.0,3.5303800106048584,100.0,[0.23808702 0.10928867 0.21098066 0.09737569 0.10980663 0.23446133]
4,0.9190031152647975,0.0,3.521031618118286,100.0,[0.23804592 0.10926981 0.21111687 0.09735888 0.1099603  0.23424823]
5,0.8930232558139535,0.0,3.4848945140838623,100.0,[0.23834197 0.10932642 0.21070812 0.09740933 0.10984456 0.2343696 ]
6,0.926905132192846,0.0,3.5193240642547607,100.0,[0.23825967 0.10928867 0.21080801 0.09737569 0.10980663 0.23446133]
7,0.9148606811145511,0.0,3.526055097579956,100.0,[0.23838314 0.10934531 0.21126274 0.09708067 0.10969079 0.23423735]
8,0.9035769828926905,0.0,3.5158751010894775,100.0,[0.23825967 0.10928867 0.21098066 0.09720304 0.10997928 0.23428867]
9,0.9127725856697819,0.0,3.4997920989990234,100.0,[0.23821854 0.10909719 0.21111687 0.09735888 0.1099603  0.23424823]
Folds Average,0.9120499210120068,0.0,3.5055936574935913,100.0,[]
